danceability,loudness,speechiness,acousticness,valence,tempo,duration_ms,time_signature,liked
0.78,-13.038,0.0625,0.0613,0.969,126.009,204327.33870967742,4,0
0.567,-3.071,0.2,0.392,0.654,110.882,218732.0,3,1
0.651,-13.87,0.0318,0.0648,0.962,112.126,186573.0,4,0
0.798,-5.98,0.047,0.23,0.394,108.004,254218.0,4,0
0.798,-8.639,0.0313,0.0304,0.965,128.553,204327.33870967742,4,0
0.908,-5.735,0.271,0.213,0.443,140.006,197613.0,4,1
0.783,-9.223,0.0486,0.396,0.831,108.966,222667.0,4,0
0.83,-7.446,0.079,0.112,0.252,97.989,243956.0,4,1
0.832,-13.705,0.0487,0.0422,0.89,119.825,215693.0,4,0
0.764,-4.946,0.179,0.202,0.742,139.961,194973.0,4,1
0.901,-2.762,0.274,0.117,0.805,142.948,204327.33870967742,4,1
0.715,-7.714,0.1,0.325,0.136,103.037,230013.0,4,0
0.743,-8.47,0.0507,0.0148,0.415,132.012,100000.0,4,1
0.871,-5.363,0.352,0.287,0.683,152.085,162960.0,4,1
0.251,-7.282,0.118,6.27e-05,0.275,99.338,204327.33870967742,4,0
0.792,-10.784,0.0793,0.000809,0.451,100.047,149000.0,4,1
0.819,-7.76,0.0349,0.203,0.766,106.684,246760.0,4,0
0.29,-4.679,0.0962,0.000325,0.18,112.834,225867.0,3,0
0.235,-13.864,0.0356,0.927,0.126,91.187,183667.0,3,0
0.677,-13.826,0.032,0.458,0.851,114.223,226333.0,4,0
0.875,-8.24,0.276,0.3,0.558,138.027,146480.0,4,1
0.379,-7.584879999999999,0.0408,0.992,0.0353,68.232,241187.0,3,0
0.641,-7.017,0.0857,0.429,0.785,149.974,192107.0,4,1
0.705,-3.28,0.259,0.241,0.766,99.97,194138.0,4,1
0.28,-7.584879999999999,0.0336,0.935,0.176,92.628,310000.0,4,0
0.256,-8.631,0.103,2.19e-05,0.0724,144.481,206120.0,4,0
0.245,-8.992,0.0718,9.86e-05,0.482,101.017,228733.0,3,0
0.72,-9.211,0.0462,0.185,0.768,110.071,323347.0,4,0
0.592,-9.965,0.0437,0.4,0.197,127.966,316546.0,4,0
0.878,-7.856,0.142,0.405,0.539,75.006,183891.0,4,1
0.828,-8.348,0.1430921875,0.639,0.58,129.433,203048.0,4,1
0.671,-9.959,0.1430921875,0.65,0.366,119.303,209440.0,5,1
0.697,-8.197,0.0302,0.114,0.98,125.941,214827.0,4,0
0.784,-5.308,0.0434,0.00308,0.271,100.007,186041.0,4,1
0.847,-2.901,0.305,0.279,0.633,142.012,190986.0,4,1
